fileName,noOfIfs,noOfSwitches,noOfLoops,noOfBreaks,noOfPriorityQueue,noOfSort,HashSetPresent,HashMapPresent,RecursionPresent,noOfNestedLoops
/Users/satya/Desktop/Personal/CodeDataset/881.java,2,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/839.java,3,0,6,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/993.java,9,0,4,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/585.java,3,0,5,1,0,1,1,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/593.java,3,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/655.java,0,0,4,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/878.java,1,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/897.java,7,0,3,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/747.java,7,0,7,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/946.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/679.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/696.java,0,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/842.java,6,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/638.java,9,0,4,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/792.java,2,0,3,1,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/618.java,12,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/927.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/659.java,2,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/823.java,0,0,6,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/989.java,14,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/874.java,4,0,5,2,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/1007.java,3,0,5,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/931.java,4,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/675.java,0,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/730.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/622.java,1,0,6,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/788.java,0,0,4,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/634.java,1,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/818.java,1,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/662.java,3,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/635.java,1,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/623.java,4,0,5,2,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/789.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/674.java,3,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/731.java,6,0,7,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1006.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/930.java,3,0,4,0,1,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/571.java,2,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/988.java,9,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/967.java,2,0,2,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/658.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/588.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/863.java,2,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/619.java,0,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/951.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/793.java,0,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1030.java,1,0,2,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/843.java,10,0,7,3,0,0,0,0,1,2
/Users/satya/Desktop/Personal/CodeDataset/785.java,3,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/1026.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/947.java,4,0,6,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/551.java,3,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/746.java,7,0,5,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/603.java,3,0,1,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/984.java,2,0,4,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/750.java,2,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/864.java,2,0,5,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1017.java,2,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/560.java,3,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/833.java,13,0,3,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1001.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/624.java,4,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/798.java,0,1,2,3,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/777.java,2,0,4,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/848.java,7,0,2,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/720.java,2,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/887.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/757.java,1,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/700.java,4,0,6,0,0,0,0,1,0,3
/Users/satya/Desktop/Personal/CodeDataset/645.java,6,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/716.java,2,0,5,0,0,2,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/653.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/741.java,3,0,4,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/604.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/805.java,5,0,6,0,0,0,0,0,1,1
/Users/satya/Desktop/Personal/CodeDataset/852.java,0,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/628.java,1,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/1037.java,0,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/844.java,5,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/794.java,5,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/795.java,5,0,6,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/900.java,7,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/845.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/783.java,4,0,3,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/853.java,2,0,15,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/941.java,2,0,6,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/890.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/717.java,7,0,4,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/594.java,5,0,3,0,0,0,1,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/701.java,4,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/644.java,4,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/994.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/664.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/799.java,0,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/633.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/625.java,10,0,6,2,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/760.java,1,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/672.java,2,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1000.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/824.java,1,0,1,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/577.java,4,0,1,1,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/998.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/832.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/977.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/648.java,24,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1016.java,2,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/920.java,2,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/734.java,2,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/827.java,4,0,5,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/718.java,6,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/974.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/889.java,2,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/759.java,4,0,7,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/684.java,3,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/811.java,2,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/779.java,3,0,1,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/780.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/738.java,3,0,4,0,0,0,0,0,1,1
/Users/satya/Desktop/Personal/CodeDataset/651.java,1,0,3,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/597.java,7,0,3,0,0,4,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/981.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/610.java,2,0,4,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/755.java,5,0,5,0,0,2,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1019.java,2,0,2,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/884.java,5,0,3,1,1,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/580.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/996.java,0,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/646.java,6,0,4,0,0,1,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/980.java,4,0,4,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/650.java,4,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/607.java,3,0,2,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/742.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/806.java,2,0,2,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/851.java,2,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/914.java,2,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/781.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/847.java,0,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/778.java,8,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/758.java,2,0,2,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/888.java,4,0,4,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/867.java,1,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/963.java,2,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1002.java,7,0,5,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/934.java,19,0,4,0,0,0,0,0,1,2
/Users/satya/Desktop/Personal/CodeDataset/871.java,7,0,8,0,0,0,0,0,0,3
/Users/satya/Desktop/Personal/CodeDataset/735.java,1,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/762.java,2,0,3,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/918.java,1,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/728.java,2,0,6,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/840.java,2,0,7,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/1033.java,2,0,4,0,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/769.java,5,0,3,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/786.java,5,0,4,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/856.java,5,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/801.java,4,0,3,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/1009.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/657.java,2,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/712.java,0,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/968.java,1,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/987.java,0,0,3,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/616.java,1,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/883.java,2,0,2,0,0,0,1,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/929.java,1,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/765.java,3,0,2,3,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/677.java,6,0,4,2,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/933.java,2,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/821.java,1,0,2,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/972.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/837.java,2,0,6,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/924.java,3,0,3,1,0,1,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/565.java,4,0,5,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/820.java,3,0,17,0,0,0,0,0,0,8
/Users/satya/Desktop/Personal/CodeDataset/748.java,9,0,3,0,0,0,0,1,0,2
/Users/satya/Desktop/Personal/CodeDataset/1004.java,3,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/733.java,0,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/1028.java,9,0,4,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/660.java,1,0,1,1,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/617.java,7,0,2,4,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/969.java,0,0,4,0,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/590.java,1,0,2,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/656.java,7,0,3,1,0,0,0,0,0,2
/Users/satya/Desktop/Personal/CodeDataset/713.java,1,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/601.java,2,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/800.java,1,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/553.java,2,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/787.java,5,0,7,0,0,0,0,0,1,2
/Users/satya/Desktop/Personal/CodeDataset/791.java,1,0,0,0,0,0,0,0,0,0
/Users/satya/Desktop/Personal/CodeDataset/816.java,4,0,1,0,0,0,0,0,0,1
/Users/satya/Desktop/Personal/CodeDataset/953.java,5,0,2,0,0,0,0,0,0,1
